,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-12-10,-0.04366666666666666,0.34055555555555556,0,1,8315.66465289,8415.24222171,8313.34130028,8336.55527417,14532641604.5306,149965767624.06198
2019-12-11,0.023651348651348655,0.14092574092574092,0,0,8759.75190096,8853.76817777,8685.42814321,8815.66253925,20309769107.2552,159068712900.41
2019-12-12,-0.053516081871345024,0.296016081871345,0,1,7216.73886245,7266.639458399999,7164.7412448,7243.13436273,18927080224.0183,131087151088.483
2019-12-13,0.040560101010101005,0.2512429292929293,0,1,7244.66223669,7293.56066067,7227.12274448,7269.68455922,17125736940.1692,131581377758.09698
2019-12-14,0.1738131313131313,0.3593308080808081,0,1,7268.90271202,7308.83632746,7097.20887996,7124.67396997,17137029729.9478,128970221233.08801
2019-12-15,0.13801247771836006,0.2334402852049911,0,1,7124.23952463,7181.0755288,6924.37592187,7152.30184412,16881129804.3008,129481424647.556
2019-12-16,0.05321869488536156,0.15286596119929455,0,0,7153.66322803,7171.16870269,6903.68277313,6932.48038982,20213265949.6212,125515586951.621
2019-12-17,0.03741341991341992,0.1462987012987013,0,0,6931.31521843,6964.07495829,6587.97426228,6640.51524608,22363804217.3446,120234244808.994
2019-12-18,-0.06533516988062443,0.30300734618916436,0,1,6647.69846901,7324.98487298,6540.04927709,7276.80277047,31836522778.202003,131754969804.179
2019-12-19,0.022587719298245615,0.22807017543859648,0,1,7277.59099229,7346.60239301,7041.3820190999995,7202.84436364,25904604415.96,130445758712.96199
2019-12-20,0.041719367588932806,0.18268774703557308,0,0,7208.63695894,7257.92191888,7086.12400862,7218.81638679,22633815180.0537,130752796980.24
2019-12-21,-0.0328125,0.25885416666666666,0,1,7220.59355274,7223.22627792,7112.73608254,7191.15846913,19312552168.1143,130267655889.328
2019-12-22,0.09348484848484848,0.2689772727272727,0,1,7191.18870288,7518.03306263,7167.17911959,7511.58904232,23134537956.153,136088022048.89
2019-12-23,0.006933275058275062,0.293372668997669,0,1,7508.90255573,7656.17619127,7326.19251983,7355.62826671,27831788041.2053,133275709110.985
2019-12-24,0.012370129870129865,0.23016233766233762,0,1,7354.39283808,7535.71669352,7269.52874884,7322.5324589,22991622105.4083,132687583294.875
